date,time,localCurrentTemperature (°C),localCurrentApparentTemperature (°C),LocalForecastedTemperature_3 (°C),LocalForecastedApparentTemperature_3 (°C),LocalForecastedTemperature_6 (°C),LocalForecastedApparentTemperature_6 (°C),localCurrentHumidity (%),LocalForecastedHumidity_3 (%),LocalForecastedHumidity_6 (%),LocalCurrent_Cloudiness (%),LocalForecastedCloudiness_3 (%),LocalForecastedCloudiness_6 (%),localCurrentUVIndex,LocalCurrent_Rain (mm),LocalForecastedRain_3 (mm),LocalForecastedRain_6 (mm),LocalCurrent_Snow (mm),LocalForecastedSnow_3 (mm),LocalForecastedSnow_6 (mm),SensorTemperature (°C),SensorRelativeHumidity (%),SensorUltraviolet,SensorLuminance (Lux),MotionAlarm,TamperAlarm,WallPlugSwitch1_Switch_1,WallPlugSwitch1_SensorPower_1 (W),Multisensor_outside_SensorTemperature (°C),Multisensor_outside_SensorRelativeHumidity (%),Multisensor_outside_SensorUltraviolet,Multisensor_outside_SensorLuminance(Lux),Multisensor_outside_TamperAlarm,Multisensor_outside_MotionAlarm,sensor1_temperature (°C),sensor2_temperature (°C),sensor3_temperature (°C),sensor4_temperature (°C),sensor5_temperature (°C),sensor1_humidity (%),sensor2_humidity (%),sensor3_humidity (%),sensor4_humidity (%),sensor5_humidity (%),Enocean_Temperature_1 (°C),Enocean_Humidity_1 (%),Brightness_sensor_temperature_1 (°C),Brightness_Sensor_Temperature_2 (°C),Brightness_Sensor_Ambient_Brightness_1,Brightness_Sensor_Ambient_Brightness_2,Brightness_Sensor_Motion_detection_1,Brightness_Sensor_Motion_detection_2,Brightness_Sensor_Battery_1 (%),Brightness_Sensor_Battery_2 (%),Socket_Energy_1(W h),Socket_Energy_2 (W h),Socket_Power_1 (W),Socket_Power_2 (W),Socket_Switch_1,Socket_Switch_2,Socket_Energy_3 (W h),Socket_Energy_4 (W h),Socket_Power_3 (W),Socket_Power_4 (W),Socket_Switch_3,Socket_Switch_4,Luminance_Sensor_Luminance_1 (Lux),Luminance_Sensor_Luminance_2 (Lux),Luminance_Sensor_Battery_1 (%),Luminance_Sensor_Battery_2 (%),Rain_Sensor_Precipitation_1 (mm),Rain_Sensor_Water_Meter_1 (m³),Rain_Sensor_Battery_1 (%),AIR_Quality_Sensor_CO2_2 (ppm),AIR_Quality_Sensor_Dew_point_2(°C),AIR_Quality_Sensor_Humidity_2 (%),AIR_Quality_Sensor_Temperature_2 (°C),AIR_Quality_Sensor_VOC_2 (ppm),AirQualitySensor_SensorTemperature (°C),AirQualitySensor_SensorRelativeHumidity (%),AirQualitySensor_SensorVOLATILE_ORGANIC_COMPOUND (ppm),AirQualitySensor_SensorDewPoint (°C) ,AirQualitySensor_SensorCO2 (ppm),Weather_Station_Air_Pressure_1 (mBar) ,Weather_Station_Dew_Point_1 (°C),Weather_Station_Electricity_meter_1 (W),Weather_Station_Heat_meter_1,Weather_Station_Humidity_1 (%),Weather_Station_Luminance_1 (Lux),Weather_Station_Temperature_1 (°C),Weather_Station_Wind_Speed_1 (m/s),Rain_Sensor_Precipitation_2 (mm),Rain_Sensor_Water_Meter_2 (m³),Rain_Sensor_Battery_2 (%),Temperature_25 (°C),Temperature_26 (°C),Temperature_27 (°C),Weather_Station_Air_Pressure_2 (mBar),Weather_Station_Dew_Point_2 (°C),Weather_Station_Electricity_meter_2 (W),Weather_Station_Heat_meter_2,Weather_Station_Humidity_2 (%),Weather_Station_Luminance_2 (Lux),Weather_Station_Temperature_2 (°C),Weather_Station_Wind_Speed_2 (m/s),wind_sensor_power (W),wind_sensor_energy (W h),Window_opening_power (W),Window_opening_energy (W h),Slats_angle_power (W),Slats_angle_energy (W h),Window_blinds_power (W),Window_blinds_energy (W h),Weather_Station_Air_Pressure_3 (mBar),Weather_Station_Dew_Point_3 (°C),Weather_Station_Electricity_meter_3 (W),Weather_Station_Heat_meter_3,Weather_Station_Humidity_3 (%),Weather_Station_Luminance_3 (Lux),Weather_Station_Temperature_3 (°C),Weather_Station_Wind_Speed_3 (m/s),AIR_Quality_Sensor_CO2_3 (ppm),AIR_Quality_Sensor_Dew_point_3 (°C),AIR_Quality_Sensor_Humidity_3 (%),AIR_Quality_Sensor_Temperature_3 (°C),AIR_Quality_Sensor_VOC_3 (ppm),AIR_Quality_Sensor_CO2_4 (ppm),AIR_Quality_Sensor_Dew_point_4 (°C),AIR_Quality_Sensor_Humidity_4 (%),AIR_Quality_Sensor_Temperature_4 (°C),AIR_Quality_Sensor_VOC_4 (ppm),AIR_Quality_Sensor_CO2_5 (ppm),AIR_Quality_Sensor_Dew_point_5 (°C),AIR_Quality_Sensor_Humidity_5 (%),AIR_Quality_Sensor_Temperature_5 (°C),AIR_Quality_Sensor_VOC_5 (ppm), Temperature_back_PVSys_8 (°C),Temperature_inside_PVSys_9 (°C),Temperature_outside_PVSys_10 (°C),RSSI = 7: Air Flow Sensor Outside,RSSI = 8: Air Flow Sensor Inside,RSSI = 9: Air Flow Sensor Solar,RSSI = 3: Temperature_sensor_outside (°C), RSSI = 4: Temperature_sensor_inside (°C),RSSI = 5: Temperature_sensor_solar (°C),Window_opening_angle (°),Window_blinds (%),Slats_angle (°),Ventilation_Flap_switch,Switch_3_AND_4, Solar_irradiation_17 (W/m2), Solar_irradiation_18 (W/m2),Socket_Switch_51,Socket_power_51 (W),Socket_Energy_51 (kWh), temperature_inside_50 (°C), temperature_outside_50(°C), humidity_inside_50 (%), humidity_outside_50 (%), Supply_air_flow_50(m3/h), exhaust_air_flow_50 (m3/h), Lunos_Ventilation_Mode, Lunos_Ventilation_Heat_Recovery_mode, Control_Algorithm, raspberrypi_switch, raspberrypi_power(W), raspberrypi_energy (kWh), no_of_persons, Window_blinds_power_consumption (W), Window_blinds_energy_consumption (kWh)
2022-02-07,00:00:16,1.34,-3.32,1.34,-4.64,0.94,-5.19,94,94,90,100,100,100,0.87,0.0,0.0,0.0,0.24,0.9766666666666667,0.18000000000000002,23.2,29,0,0,OFF,OFF,ON,0,4.7,91,0,0,OFF,OFF,29.4,29.5,1.32,29.4,3.08,9.0,6.0,1.46,38.0,95.26,1.12,93.599998,19.5,2,25,1,OFF,OFF,100,100,9.419,536.409,0,0,OFF,ON,56.376,5.161,0,0,OFF,OFF,1759.0,3233,100.0,100,260.1,0.18,66.0,430,0.8,92,1.9,0.194,22.5,26,0.67,2.4,607,94.2,1.2,0.58357,20984,93,0,2.4,18,0.0,0.6675,46.0,19.9,29.13,21.81,97.3,-0.2,2.53052,14641.0,21.0,37.0,23.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.6,0,0.25567,4230,91,100,1.7,6,400,1,84,3.4,0.09,425,1.3,87,3.2,0.097,407,1.5,74,5.7,0.093,1.8,17.3,2.5,0.5,0.5,0.5,3.40,3.40,5.20,0,99,45,OFF,OFF,13.9,25.54,ON,24,31.527,23,21,31,33,0,0,0,2,RBC_V1,OFF,2.0,3.039,1.0,11,16.47
2022-02-07,00:00:46,1.34,-3.32,1.34,-4.64,0.94,-5.19,94,94,90,100,100,100,0.87,0.0,0.0,0.0,0.24,0.9766666666666667,0.18000000000000002,23.2,29,0,0,OFF,OFF,ON,0,4.7,90,0,0,OFF,OFF,29.4,29.5,1.32,29.4,3.08,9.0,6.0,1.46,38.0,95.26,1.12,93.599998,19.5,2,25,1,OFF,OFF,100,100,9.419,536.409,0,0,OFF,ON,56.376,5.161,0,0,OFF,OFF,1759.0,3233,100.0,100,260.1,0.18,66.0,430,0.8,92,1.9,0.194,22.6,26,0.67,2.4,607,94.2,1.2,0.58357,20984,93,0,2.4,18,0.0,0.6675,46.0,19.9,29.13,21.81,97.3,-0.2,2.53052,14641.0,21.0,37.0,23.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.6,0,0.25567,4230,91,100,1.7,6,400,1,84,3.4,0.09,425,1.3,87,3.2,0.097,407,1.5,74,5.7,0.093,1.8,17.3,2.5,0.5,0.5,0.5,3.40,3.40,5.20,0,99,45,OFF,OFF,13.9,25.54,ON,25,31.527,23,21,31,33,0,0,1,2,RBC_V1,OFF,2.0,3.039,1.0,11,16.47
2022-02-07,00:01:15,1.34,-3.32,1.34,-4.64,0.94,-5.19,94,94,90,100,100,100,0.87,0.0,0.0,0.0,0.24,0.9766666666666667,0.18000000000000002,23.2,29,0,0,OFF,OFF,ON,0,4.7,90,0,0,OFF,OFF,29.4,29.5,1.32,29.4,3.08,9.0,6.0,1.46,38.0,95.26,1.12,93.599998,19.5,2,25,1,OFF,OFF,100,100,9.419,536.409,0,0,OFF,ON,56.376,5.161,0,0,OFF,OFF,1759.0,3233,100.0,100,260.1,0.18,66.0,430,0.8,92,1.9,0.194,22.6,26,0.67,2.4,607,94.2,1.2,0.58357,20984,93,0,2.4,18,0.0,0.6675,46.0,19.9,29.13,21.81,97.3,-0.2,2.53052,14641.0,21.0,37.0,23.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.6,0,0.25567,4230,91,100,1.7,6,400,1,84,3.4,0.09,425,1.3,87,3.2,0.097,407,1.5,74,5.7,0.093,1.8,17.3,2.5,0.5,0.5,0.5,3.40,3.40,5.20,0,99,45,OFF,OFF,13.9,25.54,ON,25,31.528,23,21,31,34,15,0,1,2,RBC_V1,OFF,2.0,3.039,1.0,11,16.471
2022-02-07,00:01:45,1.34,-3.32,1.34,-4.64,0.94,-5.19,94,94,90,100,100,100,0.87,0.0,0.0,0.0,0.24,0.9766666666666667,0.18000000000000002,23.2,29,0,0,OFF,OFF,ON,0,4.7,90,0,0,OFF,OFF,29.4,29.5,1.32,29.4,3.08,9.0,6.0,1.46,38.0,95.26,1.12,93.599998,19.5,2,25,1,OFF,OFF,100,100,9.419,536.409,0,0,OFF,ON,56.376,5.161,0,0,OFF,OFF,1759.0,3233,100.0,100,260.1,0.18,66.0,430,0.8,92,1.9,0.194,22.7,26,0.67,2.4,607,94.2,1.2,0.58357,20984,93,0,2.4,18,0.0,0.6675,46.0,19.9,29.13,21.81,97.3,-0.2,2.53052,14641.0,21.0,37.0,23.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.6,0,0.25567,4230,91,100,1.7,6,400,1,84,3.4,0.09,425,1.3,87,3.2,0.097,407,1.5,74,5.7,0.093,1.8,17.3,2.5,0.5,0.5,0.5,3.40,3.40,5.20,0,99,45,OFF,OFF,13.9,25.54,ON,25,31.528,23,21,31,34,15,0,1,2,RBC_V1,OFF,2.0,3.039,1.0,11,16.471
2022-02-07,00:02:29,1.34,-3.32,1.34,-4.64,0.94,-5.19,94,94,90,100,100,100,0.87,0.0,0.0,0.0,0.24,0.9766666666666667,0.18000000000000002,23.2,29,0,0,OFF,OFF,ON,0,4.7,91,0,0,OFF,OFF,29.4,29.5,1.32,29.4,3.08,9.0,6.0,1.46,38.0,95.26,1.12,93.599998,19.5,2,25,1,OFF,OFF,100,100,9.419,536.409,0,0,OFF,ON,56.376,5.161,0,0,OFF,OFF,1759.0,3233,100.0,100,260.1,0.18,66.0,430,0.8,92,2,0.194,22.7,26,0.67,2.4,607,94.2,1.2,0.58357,20984,93,0,2.4,18,0.0,0.6675,46.0,19.9,29.13,21.81,97.3,-0.2,2.53052,14641.0,21.0,37.0,23.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.6,0,0.25567,4230,91,100,1.7,6,400,1,84,3.4,0.09,425,1.3,87,3.2,0.097,407,1.5,74,5.7,0.093,1.8,17.3,2.5,0.5,0.5,0.5,3.40,3.40,5.20,0,99,45,OFF,OFF,13.9,25.54,ON,25,31.528,23,15,31,49,15,0,1,2,RBC_V1,OFF,2.0,3.039,1.0,11,16.471
2022-02-07,00:02:59,1.34,-3.32,1.34,-4.64,0.94,-5.19,94,94,90,100,100,100,0.87,0.0,0.0,0.0,0.24,0.9766666666666667,0.18000000000000002,23.2,29,0,0,OFF,OFF,ON,0,4.7,91,0,0,OFF,OFF,29.4,29.5,1.32,29.4,3.08,9.0,6.0,1.46,38.0,95.26,1.12,93.599998,19.5,2,25,1,OFF,OFF,100,100,9.419,536.409,0,0,OFF,ON,56.376,5.161,0,0,OFF,OFF,1759.0,3233,100.0,100,260.1,0.18,66.0,430,0.8,92,2,0.194,22.7,26,0.67,2.4,607,94.2,1.2,0.58357,20984,93,0,2.4,18,0.0,0.6675,46.0,19.9,29.13,21.81,97.3,-0.2,2.53052,14641.0,21.0,37.0,23.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.6,0,0.25567,4230,91,100,1.7,6,400,1,84,3.4,0.09,425,1.3,87,3.2,0.097,407,1.5,74,5.7,0.093,1.8,17.3,2.5,0.5,0.5,0.5,3.40,3.40,5.20,0,99,45,OFF,OFF,13.9,25.54,ON,25,31.529,23,12,31,60,0,0,0,2,RBC_V1,OFF,2.0,3.039,1.0,11,16.471
2022-02-07,00:03:28,1.34,-3.32,1.34,-4.64,0.94,-5.19,94,94,90,100,100,100,0.87,0.0,0.0,0.0,0.24,0.9766666666666667,0.18000000000000002,23.2,29,0,0,OFF,OFF,ON,0,4.7,91,0,0,OFF,OFF,29.4,29.5,1.32,29.4,3.08,9.0,6.0,1.46,38.0,95.26,1.12,93.599998,19.5,2,25,1,OFF,OFF,100,100,9.419,536.409,0,0,OFF,ON,56.376,5.161,0,0,OFF,OFF,1759.0,3233,100.0,100,260.1,0.18,66.0,430,0.8,92,2.1,0.194,22.7,26,0.67,2.4,607,94.2,1.2,0.58357,20984,93,0,2.4,18,0.0,0.6675,46.0,19.9,29.13,21.81,97.3,-0.2,2.53052,14641.0,21.0,37.0,23.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.6,0,0.25567,4230,91,100,1.7,6,400,1,84,3.4,0.09,425,1.3,87,3.8,0.097,407,1.5,74,5.7,0.093,1.8,17.3,2.5,0.5,0.5,0.5,3.40,3.40,5.20,0,99,45,OFF,OFF,13.9,25.54,ON,25,31.529,23,12,31,60,0,0,0,2,RBC_V1,OFF,2.0,3.039,1.0,10,16.471
2022-02-07,00:03:58,1.34,-3.32,1.34,-4.64,0.94,-5.19,94,94,90,100,100,100,0.87,0.0,0.0,0.0,0.24,0.9766666666666667,0.18000000000000002,23.2,29,0,0,OFF,OFF,ON,0,4.8,91,0,0,OFF,OFF,29.4,29.5,1.32,29.4,3.08,9.0,6.0,1.51,38.0,95.26,1.12,93.599998,19.5,2,25,1,OFF,OFF,100,100,9.419,536.409,0,0,OFF,ON,56.376,5.161,0,0,OFF,OFF,1759.0,3233,100.0,100,260.1,0.18,66.0,430,0.8,92,2.1,0.194,22.6,26,0.67,2.4,607,94.2,1.2,0.58357,20984,93,0,2.4,18,0.0,0.6675,46.0,19.9,29.13,21.81,97.3,-0.2,2.53052,14641.0,21.0,37.0,23.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.6,0,0.25567,4230,91,100,1.7,6,400,1,84,3.4,0.09,425,1.3,87,3.8,0.097,407,1.5,74,5.7,0.093,1.8,17.3,2.5,0.5,0.5,0.5,3.40,3.40,5.20,0,99,45,OFF,OFF,13.9,25.54,ON,25,31.529,23,13,31,56,0,0,0,2,RBC_V1,OFF,2.0,3.039,1.0,10,16.471
2022-02-07,00:04:27,1.34,-3.32,1.34,-4.64,0.94,-5.19,94,94,90,100,100,100,0.87,0.0,0.0,0.0,0.24,0.9766666666666667,0.18000000000000002,23.2,29,0,0,OFF,OFF,ON,0,4.8,92,0,0,OFF,OFF,29.4,29.5,1.32,29.4,3.08,9.0,6.0,1.51,38.0,95.26,1.12,93.599998,19.5,2,25,1,OFF,OFF,100,100,9.419,536.409,0,0,OFF,ON,56.376,5.161,0,0,OFF,OFF,1759.0,3233,100.0,100,260.1,0.18,66.0,430,0.8,92,2,0.194,22.6,26,0.67,2.4,607,94.2,1.2,0.58357,20984,93,0,2.4,18,0.0,0.6675,46.0,19.9,29.13,21.81,97.3,-0.2,2.53052,14641.0,21.0,37.0,23.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.6,0,0.25567,4230,91,100,1.7,6,400,1,84,3.4,0.09,425,1.3,87,3.8,0.097,407,1.5,74,5.7,0.093,1.8,17.3,2.5,0.5,0.5,0.5,3.40,3.40,5.20,0,99,45,OFF,OFF,13.9,25.54,ON,26,31.529,23,13,31,56,0,0,0,2,RBC_V1,OFF,2.0,3.039,1.0,10,16.471
2022-02-07,00:04:57,1.34,-3.32,1.34,-4.64,0.94,-5.19,94,94,90,100,100,100,0.87,0.0,0.0,0.0,0.24,0.9766666666666667,0.18000000000000002,23.2,29,0,0,OFF,OFF,ON,0,4.8,90,0,0,OFF,OFF,29.4,29.5,1.32,29.4,3.08,9.0,6.0,1.51,38.0,95.26,1.12,93.599998,19.5,2,25,1,OFF,OFF,100,100,9.419,536.409,0,0,OFF,ON,56.376,5.161,0,0,OFF,OFF,1759.0,3233,100.0,100,260.1,0.18,66.0,430,0.8,92,2,0.194,22.6,26,0.67,2.4,607,94.2,1.2,0.58357,20984,93,0,2.4,18,0.0,0.6675,46.0,19.9,29.13,21.81,97.3,-0.2,2.53052,14641.0,21.0,37.0,23.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.6,0,0.25567,4230,91,100,1.7,6,400,1,84,3.4,0.09,425,1.3,87,3.8,0.097,407,1.5,74,5.7,0.093,1.8,17.3,2.5,0.5,0.5,0.5,3.40,3.40,5.20,0,99,45,OFF,OFF,13.9,25.54,ON,26,31.529,23,14,31,52,0,0,0,2,RBC_V1,OFF,2.0,3.039,1.0,10,16.472
