date,time,localCurrentTemperature (°C),localCurrentApparentTemperature (°C),LocalForecastedTemperature_3 (°C),LocalForecastedApparentTemperature_3 (°C),LocalForecastedTemperature_6 (°C),LocalForecastedApparentTemperature_6 (°C),localCurrentHumidity (%),LocalForecastedHumidity_3 (%),LocalForecastedHumidity_6 (%),LocalCurrent_Cloudiness (%),LocalForecastedCloudiness_3 (%),LocalForecastedCloudiness_6 (%),localCurrentUVIndex,LocalCurrent_Rain (mm),LocalForecastedRain_3 (mm),LocalForecastedRain_6 (mm),LocalCurrent_Snow (mm),LocalForecastedSnow_3 (mm),LocalForecastedSnow_6 (mm),SensorTemperature (°C),SensorRelativeHumidity (%),SensorUltraviolet,SensorLuminance (Lux),MotionAlarm,TamperAlarm,WallPlugSwitch1_Switch_1,WallPlugSwitch1_SensorPower_1 (W),Multisensor_outside_SensorTemperature (°C),Multisensor_outside_SensorRelativeHumidity (%),Multisensor_outside_SensorUltraviolet,Multisensor_outside_SensorLuminance(Lux),Multisensor_outside_TamperAlarm,Multisensor_outside_MotionAlarm,sensor1_temperature (°C),sensor2_temperature (°C),sensor3_temperature (°C),sensor4_temperature (°C),sensor5_temperature (°C),sensor1_humidity (%),sensor2_humidity (%),sensor3_humidity (%),sensor4_humidity (%),sensor5_humidity (%),Enocean_Temperature_1 (°C),Enocean_Humidity_1 (%),Brightness_sensor_temperature_1 (°C),Brightness_Sensor_Temperature_2 (°C),Brightness_Sensor_Ambient_Brightness_1,Brightness_Sensor_Ambient_Brightness_2,Brightness_Sensor_Motion_detection_1,Brightness_Sensor_Motion_detection_2,Brightness_Sensor_Battery_1 (%),Brightness_Sensor_Battery_2 (%),Socket_Energy_1(W h),Socket_Energy_2 (W h),Socket_Power_1 (W),Socket_Power_2 (W),Socket_Switch_1,Socket_Switch_2,Socket_Energy_3 (W h),Socket_Energy_4 (W h),Socket_Power_3 (W),Socket_Power_4 (W),Socket_Switch_3,Socket_Switch_4,Luminance_Sensor_Luminance_1 (Lux),Luminance_Sensor_Luminance_2 (Lux),Luminance_Sensor_Battery_1 (%),Luminance_Sensor_Battery_2 (%),Rain_Sensor_Precipitation_1 (mm),Rain_Sensor_Water_Meter_1 (m³),Rain_Sensor_Battery_1 (%),AIR_Quality_Sensor_CO2_2 (ppm),AIR_Quality_Sensor_Dew_point_2(°C),AIR_Quality_Sensor_Humidity_2 (%),AIR_Quality_Sensor_Temperature_2 (°C),AIR_Quality_Sensor_VOC_2 (ppm),AirQualitySensor_SensorTemperature (°C),AirQualitySensor_SensorRelativeHumidity (%),AirQualitySensor_SensorVOLATILE_ORGANIC_COMPOUND (ppm),AirQualitySensor_SensorDewPoint (°C) ,AirQualitySensor_SensorCO2 (ppm),Weather_Station_Air_Pressure_1 (mBar) ,Weather_Station_Dew_Point_1 (°C),Weather_Station_Electricity_meter_1 (W),Weather_Station_Heat_meter_1,Weather_Station_Humidity_1 (%),Weather_Station_Luminance_1 (Lux),Weather_Station_Temperature_1 (°C),Weather_Station_Wind_Speed_1 (m/s),Rain_Sensor_Precipitation_2 (mm),Rain_Sensor_Water_Meter_2 (m³),Rain_Sensor_Battery_2 (%),Temperature_25 (°C),Temperature_26 (°C),Temperature_27 (°C),Weather_Station_Air_Pressure_2 (mBar),Weather_Station_Dew_Point_2 (°C),Weather_Station_Electricity_meter_2 (W),Weather_Station_Heat_meter_2,Weather_Station_Humidity_2 (%),Weather_Station_Luminance_2 (Lux),Weather_Station_Temperature_2 (°C),Weather_Station_Wind_Speed_2 (m/s),wind_sensor_power (W),wind_sensor_energy (W h),Window_opening_power (W),Window_opening_energy (W h),Slats_angle_power (W),Slats_angle_energy (W h),Window_blinds_power (W),Window_blinds_energy (W h),Weather_Station_Air_Pressure_3 (mBar),Weather_Station_Dew_Point_3 (°C),Weather_Station_Electricity_meter_3 (W),Weather_Station_Heat_meter_3,Weather_Station_Humidity_3 (%),Weather_Station_Luminance_3 (Lux),Weather_Station_Temperature_3 (°C),Weather_Station_Wind_Speed_3 (m/s),AIR_Quality_Sensor_CO2_3 (ppm),AIR_Quality_Sensor_Dew_point_3 (°C),AIR_Quality_Sensor_Humidity_3 (%),AIR_Quality_Sensor_Temperature_3 (°C),AIR_Quality_Sensor_VOC_3 (ppm),AIR_Quality_Sensor_CO2_4 (ppm),AIR_Quality_Sensor_Dew_point_4 (°C),AIR_Quality_Sensor_Humidity_4 (%),AIR_Quality_Sensor_Temperature_4 (°C),AIR_Quality_Sensor_VOC_4 (ppm),AIR_Quality_Sensor_CO2_5 (ppm),AIR_Quality_Sensor_Dew_point_5 (°C),AIR_Quality_Sensor_Humidity_5 (%),AIR_Quality_Sensor_Temperature_5 (°C),AIR_Quality_Sensor_VOC_5 (ppm), Temperature_back_PVSys_8 (°C),Temperature_inside_PVSys_9 (°C),Temperature_outside_PVSys_10 (°C),RSSI = 7: Air Flow Sensor Outside,RSSI = 8: Air Flow Sensor Inside,RSSI = 9: Air Flow Sensor Solar,RSSI = 3: Temperature_sensor_outside (°C), RSSI = 4: Temperature_sensor_inside (°C),RSSI = 5: Temperature_sensor_solar (°C),Window_opening_angle (°),Window_blinds (%),Slats_angle (°),Ventilation_Flap_switch,Switch_3_AND_4, Solar_irradiation_17 (W/m2), Solar_irradiation_18 (W/m2),Socket_Switch_51,Socket_power_51 (W),Socket_Energy_51 (kWh), temperature_inside_50 (°C), temperature_outside_50(°C), humidity_inside_50 (%), humidity_outside_50 (%), Supply_air_flow_50(m3/h), exhaust_air_flow_50 (m3/h), Lunos_Ventilation_Mode, Lunos_Ventilation_Heat_Recovery_mode, Control_Algorithm
2021-11-28,00:00:15,-0.55,-3.17,-0.69,-4.74,-1.22,-3.4,100,95,92,75,82,90,0.57,0.0,0.0,0.0,0.0,0.0,0.0,23.7,30,0,0,OFF,OFF,ON,0,4.2,80,0,0,OFF,OFF,29.4,29.5,-0.87,29.4,1.32,9.0,6.0,100,38.0,91.63,-1.44,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,121.817,0,690,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,423,-1.2,85,1,56.27,22.7,27,12.806,3,405,93.5,-0.4,1.99385,38423,89,0,-0.6,3,0,0.638,59,18.13,29.31,22.41,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,93.7,-2,3.10547,47143,91,0,-0.8,5,450,0.1,82,1.9,0.09,420,-0.3,75,3.2,0.162,424,0.8,76,3.5,8.683,-1.3,17.2,0.9,0.3,0,0.3,1.60,1.60,2.50,0,99,38,OFF,OFF,0.0,0.43,ON,15,7.094,23,19,32,41,0,,0,2.0,0, RBC_V1
2021-11-28,00:00:44,-0.55,-3.17,-0.69,-4.74,-1.22,-3.4,100,95,92,75,82,90,0.57,0.0,0.0,0.0,0.0,0.0,0.0,23.6,30,0,0,OFF,OFF,ON,0,4.2,80,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,91.63,-1.44,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,121.823,0,690,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,423,-1.2,85,1,56.27,22.8,27,12.806,3,405,93.5,-0.4,1.99385,38423,89,0,-0.6,3,0,0.638,59,18.13,29.31,22.41,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,93.7,-2,3.10547,47143,91,0,-0.8,5,450,0.1,82,1.9,56.285,420,-0.3,75,3.2,0.162,424,0.8,76,3.5,8.683,-1.3,17.2,0.9,0.3,0,0.3,1.60,1.60,2.50,0,99,38,OFF,OFF,0.0,0.43,ON,15,7.094,23,21,32,36,0,,0,2.0,0, RBC_V1
2021-11-28,00:01:13,-0.55,-3.17,-0.69,-4.74,-1.22,-3.4,100,95,92,75,82,90,0.57,0.0,0.0,0.0,0.0,0.0,0.0,23.6,30,0,0,OFF,OFF,ON,0,4.1,80,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,91.63,-1.44,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,121.827,0,690,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,423,-1.2,85,0.9,56.27,22.8,27,12.806,3,405,93.5,-0.4,1.99385,38423,89,0,-0.6,3,0,0.638,59,18.13,29.31,22.41,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,93.7,-2,3.10547,47143,91,0,-0.8,5,450,0.1,82,1.9,56.285,420,-0.3,75,3.2,0.162,424,0.8,76,3.5,8.683,-1.3,17.2,0.9,0.3,0,0.3,1.60,1.60,2.50,0,99,38,OFF,OFF,0.0,0.43,ON,15,7.094,23,21,32,36,0,,0,2.0,0, RBC_V1
2021-11-28,00:01:42,-0.55,-3.17,-0.69,-4.74,-1.22,-3.4,100,95,92,75,82,90,0.57,0.0,0.0,0.0,0.0,0.0,0.0,23.6,30,0,0,OFF,OFF,ON,0,4.1,80,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,91.63,-1.44,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,121.832,0,690,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,423,-1.2,85,0.9,56.27,22.9,27,12.806,3,405,93.5,-0.4,1.99385,38423,89,0,-0.6,3,0,0.638,59,18.13,29.31,22.41,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,93.7,-2,3.10547,47143,91,0,-0.8,5,450,0.1,82,1.9,56.285,420,-0.3,75,3.2,0.162,424,0.8,76,3.5,8.683,-1.3,17.2,0.9,0.3,0,0.3,1.60,1.60,2.50,0,99,38,OFF,OFF,0.0,0.43,ON,15,7.094,23,22,32,34,0,,0,2.0,0, RBC_V1
2021-11-28,00:02:12,-0.55,-3.17,-0.69,-4.74,-1.22,-3.4,100,95,92,75,82,90,0.57,0.0,0.0,0.0,0.0,0.0,0.0,23.6,30,0,0,OFF,OFF,ON,0,4.1,80,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,91.63,-1.44,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,121.838,0,686,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,423,-1.2,85,0.9,56.27,22.9,27,12.806,3,405,93.5,-0.4,1.99385,38423,89,0,-0.6,3,0,0.638,59,18.13,29.31,22.41,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,93.7,-2,3.10547,47143,91,0,-0.8,5,450,0.1,82,1.9,56.285,420,-0.3,75,3.2,0.162,424,0.8,76,3.5,8.683,-1.3,17.2,0.9,0.3,0,0.3,1.60,1.60,2.50,0,99,38,OFF,OFF,0.0,0.43,ON,15,7.095,23,22,32,34,0,,0,2.0,0, RBC_V1
2021-11-28,00:02:41,-0.55,-3.17,-0.69,-4.74,-1.22,-3.4,100,95,92,75,82,90,0.57,0.0,0.0,0.0,0.0,0.0,0.0,23.6,30,0,0,OFF,OFF,ON,0,4,81,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,91.63,-1.44,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,121.842,0,0,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,423,-1.2,85,0.9,56.27,22.9,27,12.806,3,405,93.5,-0.4,1.99385,38423,89,0,-0.6,3,0,0.638,59,18.13,29.31,22.41,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,93.7,-2,3.10547,47143,91,0,-0.8,5,450,0.1,82,1.9,56.285,420,-0.3,75,3.2,8.498,424,0.8,76,3.5,8.683,-1.3,17.2,0.9,0.3,0,0.3,1.60,1.60,2.50,0,99,38,OFF,OFF,0.0,0.43,ON,15,7.095,23,23,32,33,0,,0,2.0,0, RBC_V1
2021-11-28,00:03:10,-0.55,-3.17,-0.69,-4.74,-1.22,-3.4,100,95,92,75,82,90,0.57,0.0,0.0,0.0,0.0,0.0,0.0,23.6,30,0,0,OFF,OFF,ON,0,4,81,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,91.63,-1.44,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,121.842,0,0,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,423,-1.2,85,0.9,56.27,22.9,27,12.806,3,405,93.5,-0.4,1.99385,38423,89,0,-0.6,3,0,0.638,59,18.13,29.31,22.41,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,93.7,-2,3.10547,47143,91,0,-0.8,5,450,0.1,82,1.9,56.285,420,-0.3,75,3.2,8.498,424,0.8,76,3.5,8.683,-1.3,17.2,0.9,0.3,0,0.3,1.60,1.60,2.50,0,99,38,OFF,OFF,0.0,0.43,ON,15,7.095,23,23,32,33,0,,0,2.0,0, RBC_V1
2021-11-28,00:03:39,-0.55,-3.17,-0.69,-4.74,-1.22,-3.4,100,95,92,75,82,90,0.57,0.0,0.0,0.0,0.0,0.0,0.0,23.6,30,0,0,OFF,OFF,ON,0,4,81,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,91.63,-1.44,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,121.842,0,0,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,423,-1.2,85,0.8,56.27,23,27,12.806,3,405,93.5,-0.4,1.99385,38423,89,0,-0.6,3,0,0.638,59,18.13,29.31,22.41,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,93.7,-2,3.10547,47143,91,0,-0.8,5,450,0.1,82,1.9,56.285,420,-0.3,75,3.2,8.498,424,0.8,76,3.5,8.683,-1.3,17.2,0.9,0.3,0,0.3,1.60,1.60,2.50,0,99,38,OFF,OFF,0.0,0.43,ON,15,7.095,23,23,32,32,0,,0,2.0,0, RBC_V1
2021-11-28,00:04:08,-0.55,-3.17,-0.69,-4.74,-1.22,-3.4,100,95,92,75,82,90,0.57,0.0,0.0,0.0,0.0,0.0,0.0,23.6,30,0,0,OFF,OFF,ON,0,4,81,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,91.63,-1.44,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,121.842,0,0,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,423,-1.2,85,0.8,56.27,23,27,12.806,3,405,93.5,-0.4,1.99385,38423,89,0,-0.6,3,0,0.638,59,18.13,29.31,22.41,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,93.7,-2,3.10547,47143,91,0,-0.8,5,450,0.1,82,1.9,56.285,420,-0.3,75,3.2,8.498,424,0.8,76,3.5,8.683,-1.3,17.2,0.9,0.3,0,0.3,1.60,1.60,2.50,0,99,38,OFF,OFF,0.0,0.43,ON,16,7.095,23,23,32,32,0,,0,2.0,0, RBC_V1
2021-11-28,00:04:38,-0.55,-3.17,-0.69,-4.74,-1.22,-3.4,100,95,92,75,82,90,0.57,0.0,0.0,0.0,0.0,0.0,0.0,23.6,30,0,0,OFF,OFF,ON,0,4,81,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,91.63,-1.44,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,121.843,0,0,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,423,-1.2,86,0.8,56.27,23,27,12.806,3,405,93.5,-0.4,1.99385,38423,89,0,-0.6,3,0,0.638,59,18.13,29.31,22.41,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,93.7,-2,3.10547,47143,91,0,-0.8,5,450,0.1,82,1.9,56.285,420,-0.3,75,3.2,8.498,424,0.8,76,3.5,8.683,-1.3,17.2,0.9,0.3,0,0.3,1.60,1.60,2.50,0,99,38,OFF,OFF,0.0,0.43,ON,16,7.095,23,23,32,32,0,,0,2.0,0, RBC_V1
